AllocationYear,PooledFundId,OrganizatinonId,ClusterId,FundId,AllocationSurceId,ClusterBudget,TotalNumbProj
2008,14,3,6,1,4,1001583.0,2
2008,14,3,7,1,4,475802.0,2
2008,14,3,9,1,3,600012.0,1
2008,14,3,11,1,4,794449.0,1
2008,14,3,13,1,4,1316100.0,1
2008,16,3,3,1,3,169595.0,1
2008,16,3,3,1,4,130000.0,1
2008,16,3,6,1,3,1097547.0,1
2008,16,3,6,1,4,840000.0,1
2008,16,3,7,1,3,784388.0,5
2008,16,3,8,1,3,556935.0,1
2008,16,3,10,1,3,85600.0,1
2008,16,3,11,1,3,216140.0,1
2008,16,3,12,1,3,122212.0,1
2008,16,3,13,1,3,1687843.0,1
2008,16,3,13,1,4,1030006.0,2
2008,18,3,7,1,3,997718.0,3
2008,18,3,9,1,3,304175.0,1
2008,18,3,10,1,3,594554.0,2
2008,18,3,11,1,3,490584.0,1
2008,18,3,12,1,3,999983.0,1
2008,19,3,3,1,3,302275.0,1
2008,19,3,3,1,4,297995.0,1
2008,19,3,4,1,3,1154007.0,1
2008,19,3,6,1,3,1891256.0,1
2008,19,3,6,1,4,649917.0,1
2008,19,3,7,1,3,192600.0,1
2008,19,3,7,1,4,1037155.0,4
2008,19,3,8,1,4,1000026.0,1
2008,19,3,9,1,3,363479.0,1
2008,19,3,10,1,3,113420.0,1
2008,19,3,10,1,4,704768.0,2
2008,19,3,11,1,4,973700.0,1
2008,19,3,13,1,3,1490510.0,1
2008,19,3,13,1,4,1599995.0,2
2008,19,3,15,1,4,502877.0,1
2008,21,3,4,1,3,4058830.0,2
2008,21,3,6,1,3,490888.0,1
2008,21,3,7,1,3,1419935.0,2
2008,21,3,11,1,3,2076078.0,1
2008,22,3,4,1,3,462422.0,1
2008,22,3,6,1,3,982147.0,1
2008,22,3,11,1,3,393764.0,1
2008,23,3,9,1,3,534037.0,3
2008,24,3,3,1,4,169060.0,1
2008,24,3,6,1,3,2012459.0,2
2008,24,3,6,1,4,3151545.0,2
2008,24,3,7,1,3,2065100.0,1
2008,24,3,7,1,4,815340.0,3
2008,24,3,9,1,3,994514.0,2
2008,24,3,9,1,4,279270.0,1
2008,24,3,10,1,4,1168794.0,5
2008,24,3,11,1,4,222560.0,1
2008,24,3,12,1,4,582454.5,1
2008,24,3,13,1,4,613935.0,1
2008,25,3,3,1,3,239774.0,1
2008,25,3,4,1,3,1341775.0,3
2008,25,3,6,1,3,2552458.0,4
2008,25,3,7,1,3,2030932.0,4
2008,25,3,11,1,3,1202577.0,2
2008,26,3,6,1,4,599869.0,1
2008,26,3,7,1,3,857256.0,1
2008,26,3,7,1,4,900008.0,2
2008,26,3,9,1,3,540914.0,1
2008,26,3,9,1,4,500007.0,1
2008,27,3,3,1,4,2798050.0,1
2008,27,3,4,1,4,4544846.0,1
2008,27,3,6,1,3,3000022.0,1
2008,27,3,6,1,4,11366548.0,3
2008,27,3,7,1,4,4547153.0,6
2008,27,3,8,1,4,500000.0,1
2008,27,3,9,1,4,3400000.0,1
2008,27,3,10,1,4,2773887.0,4
2008,27,3,11,1,4,7340200.0,1
2008,27,3,13,1,4,836312.0,1
2008,28,3,4,1,3,230000.0,1
2008,28,3,6,1,3,2604819.0,4
2008,28,3,9,1,3,1365548.0,5
2008,28,3,11,1,3,1380300.0,2
2008,35,3,6,1,3,2525442.0,3
2008,35,3,9,1,3,470800.0,1
2008,36,3,6,1,3,9999239.0,1
2008,36,3,6,1,4,3681556.0,3
